report_year,report_month,report_event,direction_start,direction_end,directed_mwh,compensation_payment,retained_trading_amount,additional_compensation,ie_fee,cra,source_file
2022,5,2022-05-14T07:00:00Z,2022-05-14T07:00:00Z,2022-05-20T06:40:00Z,1916.7365621,390319.691398677,177835.41937539,369839.32,3800,586123.592023287,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,5,2022-05-20T07:00:00Z,2022-05-20T07:00:00Z,2022-05-25T03:30:00Z,3720.9487896,818484.132570832,800811.52208837,272189.07,3562.5,293424.180482462,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,5,2022-05-28T05:59:59Z,2022-05-28T05:59:59Z,2022-05-31T05:30:00Z,1323.1268965,327766.4773915,82014.44010834,373731.45,2375,621858.48728316,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,6,2022-06-03T07:00:00Z,2022-06-03T07:00:00Z,2022-06-06T05:30:00Z,3139.0211898,817920.436153248,487851.42362718,946239.59,3562.5,1279871.10252607,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,6,2022-06-14T01:19:59Z,2022-06-14T01:19:59Z,2022-06-15T20:59:59Z,2411.4505234,66295.812343266,-12049.50551044,358766.98,7266.66666666667,671894.370327961,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,6,2022-06-24T07:00:00Z,2022-06-24T07:00:00Z,2022-06-25T05:30:00Z,225.2831785,65174.42354005,497.460921270001,74327.65,3633.33333333333,142637.945952113,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,7,2022-07-15T07:15:00Z,2022-07-15T07:15:00Z,2022-07-23T04:00:00Z,3791.5955015,1289542.95902979,235179.93540501,0,0,1054363.02362478,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,7,2022-07-23T07:00:00Z,2022-07-23T07:00:00Z,2022-07-25T05:00:00Z,1811.737395,631341.47514195,179831.47641314,208820.89,2454.54545454545,662785.434183356,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,7,2022-07-29T07:00:00Z,2022-07-29T07:00:00Z,2022-08-06T04:15:00Z,10971.8567734,3859451.23405372,310020.16194311,1893600.77,6545.45454545455,5449577.29665607,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,8,2022-08-09T07:00:00Z,2022-08-09T07:00:00Z,2022-08-20T05:30:00Z,7185.9939338,2511727.99238402,467366.6245581,729936.77,4500,2778798.13782591,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,8,2022-08-20T04:45:00Z,2022-08-20T04:45:00Z,2022-08-23T05:30:00Z,1109.70546,387533.440962225,17541.19757117,255663.47,3000,628655.713391055,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,8,2022-08-27T02:00:00Z,2022-08-27T02:00:00Z,2022-09-03T04:29:59Z,3027.4308422,1059832.27667436,140518.93110236,566445.09,1500,1487258.435572,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,9,2022-09-07T07:29:59Z,2022-09-07T07:29:59Z,2022-09-10T21:40:00Z,2587.6432285,903087.4867465,187981.16679768,29560.7184849945,0,744667.038433815,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,9,2022-09-26T07:00:00Z,2022-09-26T07:00:00Z,2022-10-08T06:30:00Z,3852.5220405,1341793.87893708,79561.75990115,0,0,1262232.11903593,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,10,2022-10-08T07:00:00Z,2022-10-08T07:00:00Z,2022-10-15T05:59:59Z,3066.208805,1067856.62893008,82770.82945877,0,0,985085.799471305,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,10,2022-10-15T07:00:00Z,2022-10-15T07:00:00Z,2022-10-21T20:59:59Z,4107.9842001,1431746.58391281,-141883.8272942,0,0,1573630.41120701,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,10,2022-10-22T07:00:00Z,2022-10-22T07:00:00Z,2022-10-29T06:30:00Z,7879.3142991,2746391.38633964,135864.81849503,16591.6753042724,0,2627118.24314888,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,10,2022-10-29T06:30:00Z,2022-10-29T06:30:00Z,2022-11-05T05:59:59Z,11162.5421188,3890519.24140644,66311.76216377,0,0,3824207.47924267,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,11,2022-11-05T04:15:00Z,2022-11-05T04:15:00Z,2022-11-12T04:29:59Z,4313.0798961,1503840.30721984,170825.14358463,14785.9053673631,0,1347801.06900257,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,11,2022-11-12T07:00:00Z,2022-11-12T07:00:00Z,2022-11-13T05:59:59Z,451.6864435,157494.02911958,98920.30624642,339683.68,8333.33333333333,406590.736206493,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,11,2022-11-16T07:00:00Z,2022-11-16T07:00:00Z,2022-11-26T08:00:00Z,5287.69259,1845404.71391,-451838.11178869,0,0,2297242.82569869,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,11,2022-11-26T06:30:00Z,2022-11-26T06:30:00Z,2022-12-03T05:30:00Z,8230.7713429,2872539.1986721,318175.43510172,0,0,2554363.76357038,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,12,2022-12-03T07:00:00Z,2022-12-03T07:00:00Z,2022-12-10T08:00:00Z,10042.2855183,3504757.6458867,53271.66524826,24522,0,3476007.98063844,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,12,2022-12-10T07:00:00Z,2022-12-10T07:00:00Z,2022-12-17T14:00:00Z,12793.6111055,4464970.2758195,-197140.82893946,0,0,4662111.10475896,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,12,2022-12-24T06:30:00Z,2022-12-24T06:30:00Z,2022-12-31T06:44:59Z,6131.6128188,2139932.8737612,18179.72437164,9428.47872101126,0,2131181.62811057,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,12,2022-12-31T05:00:00Z,2022-12-31T05:00:00Z,2023-01-07T05:30:00Z,10143.2024173,3536751.94718211,-117332.08214215,0,0,3654084.02932426,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2023,1,2023-01-07T07:00:00Z,2023-01-07T07:00:00Z,2023-01-10T23:59:59Z,3203.8162439,1117658.42474819,72363.99617382,18070.7663658904,0,1063365.19494026,System security energy directions to SA Generators 7 January 2023 to 28 January 2023.xlsx
2023,1,2023-01-13T23:59:59Z,2023-01-13T23:59:59Z,2023-01-15T17:59:59Z,2093.524615,730179.5152197,-3594.71276770997,0,0,733774.22798741,System security energy directions to SA Generators 7 January 2023 to 28 January 2023.xlsx
2023,1,2023-01-17T06:30:00Z,2023-01-17T06:30:00Z,2023-01-28T02:00:00Z,11241.5142561,3920651.32489294,-20889.96781124,7424.00318274908,0,3948965.29588693,System security energy directions to SA Generators 7 January 2023 to 28 January 2023.xlsx
2023,1,2023-01-29T05:59:59Z,2023-01-29T05:59:59Z,2023-02-10T06:30:00Z,11703.2633192,4083879.08901836,104890.11678589,36426.2841345854,0,4015415.25636705,NEM Event System security directions to SA Generators 29 January 2023 to 25 February 2023.xlsx
2023,2,2023-02-10T05:00:00Z,2023-02-10T05:00:00Z,2023-02-18T08:00:00Z,6779.1847877,2365935.4909073,87251.25104379,0,0,2278684.23986351,NEM Event System security directions to SA Generators 29 January 2023 to 25 February 2023.xlsx
2023,2,2023-02-18T05:00:00Z,2023-02-18T05:00:00Z,2023-02-25T05:30:00Z,4250.3564841,1483374.4129509,121589.00011774,0,0,1361785.41283316,NEM Event System security directions to SA Generators 29 January 2023 to 25 February 2023.xlsx
2023,2,2023-02-25T05:00:00Z,2023-02-25T05:00:00Z,2023-03-04T04:29:59Z,4945.81818,1726090.54482,-1153.22493605001,22743.1039525572,0,1749986.87370861,System security energy directions report25 February 2023 to 24 March 2023.xlsx
2023,3,2023-03-04T04:29:59Z,2023-03-04T04:29:59Z,2023-03-11T07:29:59Z,7759.0469815,2707907.3965435,-91635.8681357,0,0,2799543.2646792,System security energy directions report25 February 2023 to 24 March 2023.xlsx
2023,3,2023-03-11T05:00:00Z,2023-03-11T05:00:00Z,2023-03-15T06:30:00Z,2958.1890872,1032407.9914328,-22261.74016152,0,0,1054669.73159432,System security energy directions report25 February 2023 to 24 March 2023.xlsx
2023,3,2023-03-15T05:30:00Z,2023-03-15T05:30:00Z,2023-03-24T06:15:00Z,6244.900528,2179481.43285319,12478.94096633,44890.0940379806,3111.11111111111,2215003.69703595,System security energy directions report25 February 2023 to 24 March 2023.xlsx
2023,3,2023-03-24T06:30:00Z,2023-03-24T06:30:00Z,2023-04-01T05:59:59Z,2772.3116442,967536.7638258,-27141.06205276,155721.778053433,9333.33333333333,1159732.93726533,System security energy directions report 24 March 2023 to 28 April 2023.xlsx
2023,4,2023-04-01T05:00:00Z,2023-04-01T05:00:00Z,2023-04-06T05:59:59Z,1632.7583163,569832.6523887,75632.83747786,317455.548458443,2562.5,814217.863369283,System security energy directions report 24 March 2023 to 28 April 2023.xlsx
2023,4,2023-04-06T07:00:00Z,2023-04-06T07:00:00Z,2023-04-12T23:24:59Z,13153.7559861,4590660.8391489,-220111.80828591,261814.615527017,3416.66666666667,5076003.92962849,System security energy directions report 24 March 2023 to 28 April 2023.xlsx
2023,4,2023-04-13T07:00:00Z,2023-04-13T07:00:00Z,2023-04-22T05:59:59Z,10575.759117,3690939.931833,256003.55240854,187022.1978907,4270.83333333333,3626229.41064849,System security energy directions report 24 March 2023 to 28 April 2023.xlsx
2023,4,2023-04-22T08:00:00Z,2023-04-22T08:00:00Z,2023-04-27T20:30:00Z,5195.2034508,1813126.0043292,-23980.53640761,218843.03202744,6029.41176470588,2061978.98452896,System security energy directions report 24 March 2023 to 28 April 2023.xlsx
2023,5,2023-05-02T07:00:00Z,2023-05-02T07:00:00Z,2023-05-13T05:59:59Z,1330.216632,464827.45177031,81027.53412255,211941.97732054,2411.76470588235,598153.659674182,System security energy directions to SA generators 2 May 2023 to 27 May 2023.xlsx
2023,5,2023-05-13T04:29:59Z,2023-05-13T04:29:59Z,2023-05-20T05:59:59Z,902.6965388,314867.89733096,58157.07389391,199747.233294653,1808.82352941177,458266.880261115,System security energy directions to SA generators 2 May 2023 to 27 May 2023.xlsx
2023,5,2023-05-20T05:00:00Z,2023-05-20T05:00:00Z,2023-05-27T06:40:00Z,3938.313458,1370543.94478124,94676.29028446,301972.749805635,1708.33333333333,1579548.73763575,System security energy directions to SA generators 2 May 2023 to 27 May 2023.xlsx
2023,5,2023-05-27T04:45:00Z,2023-05-27T04:45:00Z,2023-06-03T05:30:00Z,2236.1759426,769775.992049058,49056.05261166,371579.352629434,2277.77777777778,1094577.06984461,System security energy directions report 27 May 2023 to 26 June 2023.xlsx
2023,6,2023-06-03T00:20:00Z,2023-06-03T00:20:00Z,2023-06-10T05:30:00Z,6661.9658483,2189603.28627783,93847.25812298,576384.564473722,3416.66666666667,2675557.25929524,System security energy directions report 27 May 2023 to 26 June 2023.xlsx
2023,6,2023-06-10T04:00:00Z,2023-06-10T04:00:00Z,2023-06-15T04:29:59Z,4913.1092706,1546700.03608239,98644.1727481701,165888.922510693,1708.33333333333,1615653.11917824,System security energy directions report 27 May 2023 to 26 June 2023.xlsx
2023,6,2023-06-15T04:00:00Z,2023-06-15T04:00:00Z,2023-06-23T01:00:00Z,6395.2401473,1967189.43901301,-102746.43224325,115519.015768547,1138.88888888889,2186593.77591369,System security energy directions report 27 May 2023 to 26 June 2023.xlsx
2023,6,2023-06-23T05:59:59Z,2023-06-23T05:59:59Z,2023-06-25T17:00:00Z,3389.388438,1044677.30436036,-67194.74936404,159514.428184273,818.181818181818,1272204.66372685,System security energy directions report 27 May 2023 to 26 June 2023.xlsx
2023,7,2023-07-04T05:59:59Z,2023-07-04T05:59:59Z,2023-07-15T05:00:00Z,11224.7584977,3210680.53743503,-35942.4103211501,597421.497426203,3272.72,3847317.16518238,System security energy directions report 4 Jul 2023 to 27 Jul 2023.xlsx
2023,7,2023-07-15T05:00:00Z,2023-07-15T05:00:00Z,2023-07-22T05:30:00Z,3183.0690658,782504.027520788,-13339.96763648,390717.98449209,4909.08,1191471.05964936,System security energy directions report 4 Jul 2023 to 27 Jul 2023.xlsx
2023,7,2023-07-22T07:00:00Z,2023-07-22T07:00:00Z,2023-07-28T04:00:00Z,3201.8625875,751997.25913659,58437.87165438,469242.734905739,2880,1165682.12238795,System security energy directions report 4 Jul 2023 to 27 Jul 2023.xlsx
2023,7,2023-07-28T05:00:00Z,2023-07-28T05:00:00Z,2023-08-04T05:30:00Z,4601.4135112,1059420.37040973,-212469.97756298,695732.679384832,4320,1971943.02735755,System security energy directions report 28 Jul 2023 to 2 Sep 2023.xlsx
2023,8,2023-08-07T07:29:59Z,2023-08-07T07:29:59Z,2023-08-19T06:30:00Z,4401.6715551,1013709.51495724,-25031.7290994,419852.561484368,4800,1463393.80554101,System security energy directions report 28 Jul 2023 to 2 Sep 2023.xlsx
2023,8,2023-08-20T04:29:59Z,2023-08-20T04:29:59Z,2023-09-02T07:29:59Z,2481.6353889,564582.339777736,70998.65116754,627467.568741694,2793.10344827586,1123844.36080017,System security energy directions report 28 Jul 2023 to 2 Sep 2023.xlsx
2023,9,2023-09-02T05:59:59Z,2023-09-02T05:59:59Z,2023-09-09T05:00:00Z,7903.4436436,1789587.29079653,-244066.44596749,565906.400997706,2172.41379310345,2601732.55155483,System security energy directions to SA generators 2 Sep 2023 to 29 Sep 2023.xlsx
2023,9,2023-09-09T08:00:00Z,2023-09-09T08:00:00Z,2023-09-16T06:30:00Z,4002.2492587,895137.761627636,-119089.44985453,715661.3438012,4034.48275862069,1733923.03804199,System security energy directions to SA generators 2 Sep 2023 to 29 Sep 2023.xlsx
2023,9,2023-09-16T05:00:00Z,2023-09-16T05:00:00Z,2023-09-22T05:59:59Z,5747.4546289,1268748.37460702,-1405.68798753,454450.590170006,2531.25,1727135.90276455,System security energy directions to SA generators 2 Sep 2023 to 29 Sep 2023.xlsx
2023,9,2023-09-22T05:59:59Z,2023-09-22T05:59:59Z,2023-09-29T05:59:59Z,6161.080908,1340996.66724289,77634.40333236,570223.970542597,2250,1835836.23445312,System security energy directions to SA generators 2 Sep 2023 to 29 Sep 2023.xlsx
2023,9,2023-09-29T07:00:00Z,2023-09-29T07:00:00Z,2023-10-06T07:00:00Z,6149.5890245,1301795.52996257,-93977.69822816,458951.661769064,1687.5,1856412.38995979,System security energy directions report29 September to 27 October 2023.xlsx
2023,10,2023-10-06T04:45:00Z,2023-10-06T04:45:00Z,2023-10-13T07:29:59Z,8322.9456681,1700984.15882213,59770.69000951,538676.300586264,2531.25,2182421.01939889,System security energy directions report29 September to 27 October 2023.xlsx
2023,10,2023-10-13T07:29:59Z,2023-10-13T07:29:59Z,2023-10-18T07:00:00Z,6974.8550001,1369471.95158183,56748.56091267,242770.582049251,1285.71428571429,1556779.68700412,System security energy directions report29 September to 27 October 2023.xlsx
2023,10,2023-10-18T07:00:00Z,2023-10-18T07:00:00Z,2023-10-27T06:30:00Z,10625.7380463,2026259.70699563,-248738.67539319,1064406.30989334,2828.57142857143,3342233.26371073,System security energy directions report29 September to 27 October 2023.xlsx
