episode_id,duid,class,first_exit_rel_h,ma_at_issue
334,OSB-AG,signal then direction,-44.9452777777778,0
337,OSB-AG,signal then direction,-44.1252777777778,0
338,OSB-AG,signal then direction,-42.9958333333333,0
524,PPCCGT,signal then direction,-44.8113888888889,0
525,PPCCGT,no exit signal ever,,0
526,PPCCGT,signal then direction,-30.7480555555556,0
532,PPCCGT,no exit signal ever,,0
533,PPCCGT,no exit signal ever,,248.290909090909
536,PPCCGT,signal then direction,-43.8633333333333,0
811,TORRB2,signal then direction,-8.08833333333333,0
812,TORRB2,signal after direction,0.121944444444444,
816,TORRB2,signal then direction,-7.89555555555556,0
817,TORRB2,signal then direction,-8.46805555555556,23.3009708737864
818,TORRB2,signal then direction,-9.90333333333333,0
819,TORRB2,signal then direction,-9.605,0
820,TORRB2,signal then direction,-0.055,20.2105263157895
821,TORRB2,signal then direction,-8.61138888888889,0
822,TORRB2,signal after direction,0.19,
824,TORRB2,signal then direction,-5.20444444444444,0
825,TORRB2,signal then direction,-33.1591666666667,120.061538461538
827,TORRB2,signal then direction,-2.65166666666667,0
829,TORRB2,signal then direction,-1.90277777777778,0
830,TORRB2,signal then direction,-3.58888888888889,0
831,TORRB2,signal then direction,-7.535,26.2142857142857
833,TORRB2,signal after direction,0.0522222222222222,
835,TORRB2,signal then direction,-2.47777777777778,0
836,TORRB2,signal then direction,-5.13861111111111,0
838,TORRB2,signal then direction,-4.84,0
839,TORRB2,signal then direction,-5.58888888888889,0
840,TORRB2,signal then direction,-3.8925,0
841,TORRB2,signal then direction,-2.20416666666667,18.7012987012987
842,TORRB2,signal then direction,-4.70666666666667,75.6
843,TORRB2,no exit signal ever,,0
844,TORRB2,signal then direction,-30.17,0
845,TORRB2,signal after direction,0.481111111111111,
846,TORRB2,signal after direction,0.223888888888889,
847,TORRB2,signal after direction,0.426666666666667,
848,TORRB2,signal after direction,0.296666666666667,
849,TORRB2,signal after direction,0.273333333333333,
850,TORRB2,signal then direction,-4.185,0
852,TORRB2,no exit signal ever,,136.19512195122
853,TORRB2,signal then direction,-5.84444444444444,0
854,TORRB2,signal then direction,-5.39,0
855,TORRB2,signal then direction,-3.47305555555556,0
858,TORRB2,signal then direction,-2.32083333333333,0
860,TORRB2,signal then direction,-4.26638888888889,0
861,TORRB2,signal then direction,-2.39083333333333,39.0439024390244
864,TORRB2,signal then direction,-1.71777777777778,0
865,TORRB2,signal after direction,0.2775,
866,TORRB2,signal then direction,-3.11027777777778,0
868,TORRB2,signal after direction,18.0730555555556,
872,TORRB2,signal then direction,-6.9475,0
875,TORRB2,signal after direction,19.4594444444444,
876,TORRB2,signal after direction,0.0769444444444444,
880,TORRB2,signal then direction,-9.17361111111111,18.6666666666667
881,TORRB2,signal then direction,-22.6769444444444,0
882,TORRB2,signal then direction,-4.66666666666667,0
883,TORRB2,signal then direction,-30.6663888888889,0
884,TORRB2,signal then direction,-27.6652777777778,0
885,TORRB2,signal then direction,-8.54472222222222,55.7777777777778
887,TORRB2,signal then direction,-26.0083333333333,2.27118644067797
891,TORRB2,signal after direction,17.0002777777778,
892,TORRB2,signal after direction,43.8030555555556,
1132,TORRB3,signal then direction,-3.81,101.538461538462
1134,TORRB3,signal then direction,-7.89555555555556,0
1137,TORRB3,signal then direction,-7.565,0
1138,TORRB3,signal after direction,0.1125,
1139,TORRB3,signal after direction,0.0416666666666667,
1140,TORRB3,signal then direction,-5.04055555555556,0
1141,TORRB3,signal then direction,-7.3175,0
1143,TORRB3,signal then direction,-9.10083333333333,0
1144,TORRB3,signal then direction,-6.37861111111111,0
1145,TORRB3,no exit signal ever,,0
1147,TORRB3,signal then direction,-27.0541666666667,0
1149,TORRB3,signal then direction,-8.49833333333333,9.6578947368421
1151,TORRB3,signal then direction,-0.756388888888889,12.1073825503356
1153,TORRB3,signal then direction,-6.57888888888889,0
1154,TORRB3,signal then direction,-1.18055555555556,0
1159,TORRB3,no exit signal ever,,172
1160,TORRB3,signal then direction,-3.31638888888889,100.311926605505
1163,TORRB3,signal then direction,-3.8925,0
1165,TORRB3,signal then direction,-8.23222222222222,0
1166,TORRB3,signal then direction,-30.17,0
1169,TORRB3,signal then direction,-24.1972222222222,0
1170,TORRB3,signal after direction,21.2433333333333,
1174,TORRB3,signal then direction,-24.2658333333333,0
1175,TORRB3,signal then direction,-5.39,0
1176,TORRB3,signal then direction,-4.26638888888889,117.333333333333
1177,TORRB3,signal then direction,-4.78972222222222,12.2666666666667
1181,TORRB3,signal after direction,0.389166666666667,
1184,TORRB3,signal then direction,-30.1522222222222,0
1185,TORRB3,signal then direction,-5.38944444444444,0
1189,TORRB3,signal then direction,-8.31055555555556,17.7866666666667
1191,TORRB3,signal after direction,16.5086111111111,200
1196,TORRB3,signal then direction,-4.65833333333333,0
1201,TORRB3,signal after direction,16.0136111111111,
1203,TORRB3,signal then direction,-31.1361111111111,0
1204,TORRB3,no exit signal ever,,
1205,TORRB3,signal then direction,-1.02194444444444,0
1206,TORRB3,signal after direction,0.0441666666666667,
1207,TORRB3,signal after direction,23.615,
1208,TORRB3,signal after direction,22.675,
1209,TORRB3,signal then direction,-5.84861111111111,0
1211,TORRB3,signal then direction,-27.4866666666667,94.2064516129032
1215,TORRB3,signal then direction,-3.93222222222222,0
1217,TORRB3,signal then direction,-8.54472222222222,0
1221,TORRB3,signal then direction,-11.1077777777778,0
1222,TORRB3,signal after direction,21.0527777777778,
1420,TORRB4,signal after direction,0.0502777777777778,
1423,TORRB4,signal then direction,-5.965,0
1425,TORRB4,no exit signal ever,,
1426,TORRB4,signal after direction,0.259722222222222,
1428,TORRB4,signal after direction,0.0752777777777778,
1431,TORRB4,signal after direction,0.176388888888889,
1432,TORRB4,signal then direction,-6.86694444444444,0
1433,TORRB4,signal then direction,-10.5794444444444,0
1434,TORRB4,signal then direction,-7.34916666666667,0
1435,TORRB4,signal then direction,-7.24527777777778,0
1436,TORRB4,signal then direction,-0.00166666666666667,21.3592233009709
1437,TORRB4,signal then direction,-5.08083333333333,0
1438,TORRB4,signal then direction,-4.40638888888889,0
1440,TORRB4,signal after direction,16.5455555555556,
1443,TORRB4,signal then direction,-6.99805555555556,0
1444,TORRB4,signal then direction,-4.18444444444445,102.615384615385
1445,TORRB4,signal then direction,-5.19638888888889,40
1446,TORRB4,signal then direction,-1.90277777777778,42.24
1447,TORRB4,signal then direction,-6.31361111111111,0
1448,TORRB4,signal then direction,-6.24416666666667,111.166666666667
1450,TORRB4,signal then direction,-47.7533333333333,0
1451,TORRB4,no exit signal ever,,85.5853658536585
1452,TORRB4,signal then direction,-5.4975,0
1456,TORRB4,signal then direction,-46.9544444444445,0
1457,TORRB4,signal after direction,3.58388888888889,
1461,TORRB4,signal then direction,-2.99444444444444,0
1462,TORRB4,signal then direction,-5.55277777777778,44.4285714285714
1463,TORRB4,signal then direction,-6.38388888888889,97.2222222222222
1466,TORRB4,signal then direction,-1.71888888888889,100
1467,TORRB4,signal then direction,-7.2125,0
1470,TORRB4,signal then direction,-0.636111111111111,0
1473,TORRB4,signal then direction,-6.25833333333333,0
1476,TORRB4,signal then direction,-27.6652777777778,0
1477,TORRB4,no exit signal ever,,40
1485,TORRB4,signal then direction,-4.765,95.875
1486,TORRB4,signal then direction,-8.58305555555556,58.9714285714286
1487,TORRB4,signal then direction,-26.5672222222222,0
1490,TORRB4,signal then direction,-6.82222222222222,100.904347826087
1491,TORRB4,no exit signal ever,,196.923076923077
335,OSB-AG,signal then direction,-42.385,0
336,OSB-AG,signal then direction,-42.2647222222222,80.5555555555556
339,OSB-AG,signal then direction,-46.8152777777778,78.9240506329114
340,OSB-AG,signal then direction,-44.915,56.8987341772152
341,OSB-AG,signal then direction,-37.1233333333333,0
523,PPCCGT,signal then direction,-45.0780555555556,92.2468619246862
527,PPCCGT,signal then direction,-28.2141666666667,45.9810426540284
528,PPCCGT,signal then direction,-43.5127777777778,125.076923076923
529,PPCCGT,signal then direction,-29.5716666666667,0
530,PPCCGT,no exit signal ever,,0
531,PPCCGT,no exit signal ever,,0
534,PPCCGT,signal then direction,-39.6572222222222,0
535,PPCCGT,signal then direction,-44.6019444444444,0
537,PPCCGT,signal then direction,-29.1811111111111,49.9111111111111
538,PPCCGT,signal then direction,-30.0763888888889,38.5946902654867
539,PPCCGT,signal then direction,-33.4902777777778,41.9267015706806
540,PPCCGT,signal then direction,-3.6875,73.452380952381
541,PPCCGT,signal then direction,-27.1447222222222,79.6194690265487
542,PPCCGT,signal then direction,-29.9694444444445,74.9916666666667
813,TORRB2,signal then direction,-5.56638888888889,21.3592233009709
814,TORRB2,signal then direction,-4.82638888888889,0
815,TORRB2,signal after direction,0.3525,
823,TORRB2,signal then direction,-5.69361111111111,40
826,TORRB2,signal then direction,-22.9466666666667,17.8125
828,TORRB2,signal then direction,-3.1525,45.1098265895954
832,TORRB2,signal then direction,-2.81194444444444,0
834,TORRB2,signal then direction,-5.17833333333333,120
837,TORRB2,signal after direction,25.8391666666667,
851,TORRB2,signal then direction,-6.05916666666667,0
856,TORRB2,signal then direction,-7.52444444444445,15.6962025316456
857,TORRB2,signal after direction,0.0541666666666667,
859,TORRB2,signal then direction,-3.335,45.2571428571429
862,TORRB2,signal then direction,-6.31638888888889,0
863,TORRB2,signal then direction,-31.0302777777778,0
867,TORRB2,signal then direction,-4.02222222222222,0
869,TORRB2,signal then direction,-6.30888888888889,0
870,TORRB2,signal then direction,-5.28916666666667,0
871,TORRB2,signal after direction,25.0605555555556,
873,TORRB2,signal after direction,20.2986111111111,
874,TORRB2,signal then direction,-25.9472222222222,123.555555555556
877,TORRB2,signal then direction,-7.11,18.7777777777778
878,TORRB2,signal then direction,-6.25833333333333,0
879,TORRB2,signal then direction,-7.38055555555556,0
886,TORRB2,signal then direction,-0.0275,32.0379146919431
888,TORRB2,signal after direction,0.0591666666666667,
889,TORRB2,signal then direction,-9.67944444444444,108.388888888889
890,TORRB2,signal then direction,-0.737222222222222,19.8610421836228
1133,TORRB3,signal after direction,0.361666666666667,
1135,TORRB3,signal then direction,-5.90916666666667,0
1136,TORRB3,signal then direction,-0.558055555555556,62.8888888888889
1142,TORRB3,signal after direction,39.6013888888889,40
1146,TORRB3,signal after direction,7.84388888888889,40
1148,TORRB3,signal then direction,-6.88083333333333,0
1150,TORRB3,signal then direction,-6.17472222222222,0
1152,TORRB3,signal then direction,-4.40638888888889,0
1155,TORRB3,signal then direction,-29.4830555555556,86.7592592592593
1156,TORRB3,signal then direction,-43.9608333333333,0
1157,TORRB3,signal then direction,-11.3486111111111,16
1158,TORRB3,signal then direction,-5.69361111111111,40
1161,TORRB3,signal then direction,-7.86277777777778,0
1162,TORRB3,signal then direction,-5.13861111111111,0
1164,TORRB3,signal then direction,-5.09138888888889,40
1167,TORRB3,signal after direction,0.198888888888889,0
1168,TORRB3,signal then direction,-4.82972222222222,0
1171,TORRB3,signal then direction,-4.12833333333333,88.9333333333333
1172,TORRB3,signal then direction,-2.44722222222222,76.2666666666667
1173,TORRB3,signal then direction,-2.84527777777778,94.164705882353
1178,TORRB3,signal then direction,-1.215,11.8333333333333
1179,TORRB3,signal then direction,-32.5744444444445,0
1180,TORRB3,signal then direction,-2.17444444444444,39.6666666666667
1182,TORRB3,signal then direction,-6.0425,0
1183,TORRB3,signal then direction,-31.0427777777778,0
1186,TORRB3,signal then direction,-30.6227777777778,28.2931937172775
1187,TORRB3,signal then direction,-27.9138888888889,40
1188,TORRB3,signal then direction,-3.12916666666667,0
1190,TORRB3,signal then direction,-8.43333333333333,41.4715025906736
1192,TORRB3,signal then direction,-8.25361111111111,1.36585365853659
1193,TORRB3,signal then direction,-0.650277777777778,43.3555555555556
1194,TORRB3,signal then direction,-6.91138888888889,0
1195,TORRB3,signal after direction,20.2986111111111,
1197,TORRB3,signal then direction,-29.6322222222222,0
1200,TORRB3,signal then direction,-4.61361111111111,119.157894736842
1202,TORRB3,signal then direction,-7.2125,0
1210,TORRB3,signal then direction,-31.2041666666667,29.9145299145299
1212,TORRB3,signal after direction,15.8875,40
1213,TORRB3,signal then direction,-7.3225,0
1214,TORRB3,signal then direction,-9.51333333333333,0
1216,TORRB3,signal then direction,-25.3386111111111,0
1218,TORRB3,signal after direction,15.5161111111111,
1219,TORRB3,signal after direction,18.1575,0
1220,TORRB3,signal then direction,-9.67944444444444,86.126582278481
1223,TORRB3,signal then direction,-29.6069444444444,0
1419,TORRB4,signal then direction,-3.51166666666667,44.7567567567568
1421,TORRB4,signal after direction,17.4661111111111,
1422,TORRB4,signal then direction,-8.83611111111111,40
1424,TORRB4,signal then direction,-3.89472222222222,0
1427,TORRB4,signal then direction,-6.5625,0
1429,TORRB4,signal then direction,-2.61944444444444,0
1430,TORRB4,signal then direction,-32.5566666666667,0
1439,TORRB4,signal after direction,19.7961111111111,40
1441,TORRB4,signal then direction,-1.46138888888889,0
1442,TORRB4,signal then direction,-1.02722222222222,0
1449,TORRB4,signal then direction,-6.43361111111111,32.579185520362
1453,TORRB4,no exit signal ever,,
1454,TORRB4,signal then direction,-31.7297222222222,26.2142857142857
1455,TORRB4,signal then direction,-24.4677777777778,0
1458,TORRB4,signal then direction,-24.6736111111111,35.3970826580227
1459,TORRB4,signal then direction,-30.1611111111111,0
1460,TORRB4,signal then direction,-5.38944444444444,47.1428571428571
1468,TORRB4,signal then direction,-6.57888888888889,21.1764705882353
1469,TORRB4,signal then direction,-29.0788888888889,0
1471,TORRB4,signal then direction,-24.6280555555556,0
1472,TORRB4,signal then direction,-28.6911111111111,31.2962962962963
1474,TORRB4,signal then direction,-4.66666666666667,0
1475,TORRB4,signal then direction,-30.6663888888889,0
1478,TORRB4,signal then direction,-20.5641666666667,41.1463414634146
1479,TORRB4,signal then direction,-20.4533333333333,0
1480,TORRB4,signal then direction,-6.00638888888889,40
1481,TORRB4,signal after direction,4.43583333333333,40
1482,TORRB4,no exit signal ever,,
1483,TORRB4,signal then direction,-24.1038888888889,0
1484,TORRB4,signal then direction,-31.2041666666667,40
1488,TORRB4,signal then direction,-33.5133333333333,0
1489,TORRB4,signal then direction,-3.93222222222222,93.3333333333333
